,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1126.243,0.75872004,0.75980414,0.76057252,0.76126136,0.76215743,0.76196075,0.76146371,0.76141889,0.76154664,0.7614796,0.7614641,0.76090773,0.76059915,0.75898396,0.75822408,0.75718236,0.75668713,0.75591548,0.75517194,0.75375764,0.75274969,0.75270543,0.75156607,0.75013774,0.74844548,0.74547707,0.74094682,0.7346064,0.72624246,0.7167148,0.70402294,0.69050357,0.67678868,0.66105232,0.64597576,0.63043564,0.61548413,0.60094078,0.58623589,0.5729339,0.56021312,0.54868158,0.53832353,0.52859477,0.52090112,0.51519488,0.51160049,0.50908926,0.5066639,0.50555394,0.50434202
1128.172,0.76206404,0.76309624,0.76425852,0.76511806,0.76613783,0.76603555,0.76539741,0.76558559,0.76574824,0.7655528,0.7656056,0.76512163,0.76454035,0.76277376,0.76146178,0.76002456,0.75889593,0.75744328,0.75576284,0.75294324,0.75038369,0.74854153,0.74527387,0.74139024,0.73640978,0.72952537,0.72043592,0.7089099,0.69647136,0.6872502,0.67693244,0.66637857,0.65554628,0.64276112,0.63060956,0.61763584,0.60519843,0.59275598,0.57991189,0.568266,0.55684802,0.54642018,0.53701933,0.52787497,0.52062322,0.51538288,0.51199459,0.50974546,0.5074943,0.50640314,0.50526372
1130.1,0.77225614,0.77354594,0.77508792,0.77615406,0.77744193,0.77764515,0.77708521,0.77715629,0.77751304,0.7776101,0.7775121,0.77701403,0.77610615,0.77444156,0.77301288,0.77091886,0.76913783,0.76683898,0.76381374,0.75970104,0.75532139,0.75113363,0.74499017,0.73776074,0.72872428,0.71693687,0.70211732,0.6838592,0.66603876,0.6565109,0.64890714,0.64158337,0.63363348,0.62388312,0.61448476,0.60428604,0.59432393,0.58409688,0.57319779,0.5632767,0.55323252,0.54399058,0.53548093,0.52717137,0.52052932,0.51560848,0.51258519,0.51049436,0.5082988,0.50749324,0.50638262
1132.029,0.79373504,0.79525654,0.79708382,0.79864786,0.80012573,0.80052065,0.80022771,0.80025069,0.80080024,0.8008355,0.8008376,0.80036413,0.79927435,0.79725146,0.79515738,0.79267406,0.79023863,0.78676588,0.78228164,0.77611234,0.76921029,0.76236243,0.75268897,0.74121444,0.72695488,0.70900567,0.68706942,0.6602976,0.63554516,0.6250988,0.62017564,0.61584307,0.61090718,0.60420502,0.59766766,0.59028294,0.58254003,0.57469038,0.56595569,0.5576332,0.54916562,0.54125648,0.53365453,0.52619047,0.52012492,0.51566228,0.51286159,0.51104086,0.509048,0.50831084,0.50731602
1133.957,0.83157154,0.83347894,0.83591762,0.83755406,0.83936773,0.83976905,0.83953161,0.83942649,0.83975054,0.8395494,0.839479,0.83855333,0.83728185,0.83439856,0.83184218,0.82850576,0.82480423,0.81968318,0.81338034,0.80436514,0.79450929,0.78385563,0.76998207,0.75315964,0.73260348,0.70714487,0.67651022,0.639752,0.60653726,0.5944121,0.59191044,0.59055217,0.58871878,0.58467712,0.58090136,0.57602884,0.57078383,0.56514898,0.55831019,0.5517629,0.54469482,0.53802878,0.53147403,0.52474307,0.51929562,0.51527768,0.51285819,0.51111236,0.5093044,0.50874404,0.50772092
1135.886,0.88798774,0.88974204,0.89214002,0.89395026,0.89550883,0.89520235,0.89445251,0.89374649,0.89347194,0.8928167,0.8920271,0.89016383,0.88799595,0.88403226,0.88030678,0.87521366,0.86985763,0.86251788,0.85363014,0.84132324,0.82760809,0.81235663,0.79288777,0.77008414,0.74253438,0.70871247,0.66878292,0.621386,0.57914606,0.5650418,0.56488084,0.56628077,0.56700778,0.56575072,0.56438336,0.56189094,0.55896933,0.55540068,0.55050069,0.5456768,0.54013652,0.53464318,0.52921823,0.52329147,0.51852792,0.51507178,0.51291379,0.51152176,0.5099229,0.50922904,0.50839682
1137.814,0.95601024,0.95685004,0.95852912,0.95917536,0.95988133,0.95839455,0.95565421,0.95392289,0.95210494,0.9498703,0.9476668,0.94402823,0.94005455,0.93385676,0.92779148,0.92038516,0.91253063,0.90228618,0.88967444,0.87352554,0.85552389,0.83543993,0.81043967,0.78137614,0.74706608,0.70590437,0.65833882,0.6022405,0.55315826,0.5376132,0.53946584,0.54330147,0.54628688,0.54728962,0.54829616,0.54795174,0.54715013,0.54542608,0.54248179,0.5393732,0.53532202,0.53108088,0.52664593,0.52168777,0.51763332,0.51466228,0.51294099,0.51177746,0.5103833,0.50994144,0.50908942
1139.743,1.01007624,1.00890004,1.00882512,1.00795236,1.00700133,1.00356555,0.99891321,0.99501589,0.99129194,0.9870673,0.9823548,0.97635823,0.96966755,0.96095976,0.95217148,0.94166006,0.93087113,0.91775768,0.90156704,0.88189044,0.85976399,0.83583893,0.80677347,0.77361214,0.73502618,0.68989147,0.63855652,0.579278,0.52821736,0.5129664,0.51666014,0.52248087,0.52747368,0.53040792,0.53326546,0.53496834,0.53588403,0.53593578,0.53460939,0.5330016,0.53036032,0.52733518,0.52401573,0.51993147,0.51645512,0.51404768,0.51277319,0.51193116,0.5106329,0.51035384,0.50964242
1141.671,1.01652724,1.01325504,1.01136212,1.00897336,1.00626333,1.00131855,0.99499121,0.98948689,0.98387994,0.9777573,0.9710038,0.96269723,0.95368455,0.94290676,0.93155748,0.91945516,0.90607643,0.89080928,0.87278424,0.85117514,0.82767729,0.80231173,0.77223117,0.73866974,0.70030588,0.65606057,0.60680132,0.5511432,0.50408726,0.4915278,0.49680774,0.50410987,0.51077138,0.51527332,0.51969756,0.52298414,0.52547813,0.52717258,0.52733569,0.527141,0.52584292,0.52409518,0.52189203,0.51859007,0.51587872,0.51405578,0.51313269,0.51258336,0.511529,0.51136964,0.51073842
1143.6,0.96275724,0.95834804,0.95496112,0.95171536,0.94779033,0.94220455,0.93542721,0.92904989,0.92298814,0.9157349,0.9074475,0.89843113,0.88840805,0.87669736,0.86442708,0.85135026,0.83785763,0.82239518,0.80505554,0.78419054,0.76200719,0.73854743,0.71108227,0.68102074,0.64741498,0.60886517,0.56689552,0.5201623,0.48164526,0.4730513,0.47988124,0.48839717,0.49616728,0.50191732,0.50760486,0.51209414,0.51605923,0.51903008,0.52065539,0.5218138,0.52173432,0.52115938,0.51987683,0.51760457,0.51561272,0.51437088,0.51387419,0.51364046,0.5128326,0.51282814,0.51240822
